name,team,player_position,penalty_name,penalty_yards
R.Kalil,Carolina,C,Illegal Bat,0
R.Kalil,Carolina,C,Player Out of Bounds on Punt,5
R.Kalil,Carolina,C,Defensive Pass Interference,266
R.Kalil,Carolina,C,Defensive Delay of Game,10
R.Kalil,Carolina,C,Clipping,0
R.Niswanger,Kansas City,C,Lowering the Head to Make Forcible Contact,0
R.Niswanger,Kansas City,C,Ineligible Downfield Kick,5
R.Niswanger,Kansas City,C,Leverage,10
R.Niswanger,Kansas City,C,Roughing the Kicker,0
R.Niswanger,Kansas City,C,Tripping,25
S.O'Hara,N.Y. Giants,C,Offensive Offside,0
S.O'Hara,N.Y. Giants,C,Neutral Zone Infraction,29
S.O'Hara,N.Y. Giants,C,Offensive 12 On-field,0
S.Satele,Oakland,C,Short Free Kick,0
S.Satele,Oakland,C,Kickoff Out of Bounds,0
S.Satele,Oakland,C,Illegal Forward Pass,0
S.Satele,Oakland,C,Delay of Kickoff,0
S.Wells,Green Bay,C,Illegal Forward Handoff,0
S.Wells,Green Bay,C,Neutral Zone Infraction,10
S.Wells,Green Bay,C,Face Mask (15 Yards),46
S.Wells,Green Bay,C,Illegal Double-Team Block,0
T.McClure,Atlanta,C,Offensive Offside,0
T.McClure,Atlanta,C,Invalid Fair Catch Signal,0
T.McClure,Atlanta,C,Lowering the Head to Make Forcible Contact,0
W.Montgomery,Washington,C,Neutral Zone Infraction,15
W.Montgomery,Washington,C,Invalid Fair Catch Signal,0
W.Montgomery,Washington,C,Unsportsmanlike Conduct,67
A.Allen,Minnesota,CB,Kickoff Out of Bounds,0
A.Allen,Minnesota,CB,Defensive Holding,10
A.Cason,San Diego,CB,Illegal Use of Hands,10
A.Goodman,Denver,CB,Taunting,0
A.Goodman,Denver,CB,Horse Collar Tackle,0
A.Goodman,Denver,CB,Defensive 12 On-field,15
A.Goodman,Denver,CB,Face Mask (5 Yards),0
A.Goodman,Denver,CB,Invalid Fair Catch Signal,0
A.Harris,Green Bay,CB,Interference with Opportunity to Catch,0
A.Harris,Green Bay,CB,False Start,204
A.Harris,Green Bay,CB,Face Mask,0
A.Harris,Green Bay,CB,Leverage,0
A.Henry,Detroit,CB,Illegal Forward Pass,0
A.Samuel,Philadelphia,CB,Offensive Offside,0
A.Samuel,Philadelphia,CB,Unsportsmanlike Conduct,80
A.Samuel,Philadelphia,CB,Offensive Offside,5
A.Samuel,Philadelphia,CB,Illegal Onside Kick,0
A.Samuel,Philadelphia,CB,Illegal Receiver Pass,0
A.Smith,Denver,CB,Fair Catch Interference,0
A.Talib,Tampa Bay,CB,Neutral Zone Infraction,10
A.Talib,Tampa Bay,CB,Clipping,30
A.Talib,Tampa Bay,CB,Offensive 12 On-field,0
A.Talib,Tampa Bay,CB,Illegal Blindside Block,0
A.Talib,Tampa Bay,CB,Illegal Touch Kick,0
A.Youboty,Buffalo,CB,Illegal Shift,5
A.Youboty,Buffalo,CB,Tripping,10
B.Carr,Kansas City,CB,Illegal Forward Handoff,0
B.Carr,Kansas City,CB,Face Mask,0
B.Carr,Kansas City,CB,Illegally Kicking Ball,0
B.Carr,Kansas City,CB,Intentional Grounding,27
B.Carr,Kansas City,CB,Offside on Free Kick,0
B.Flowers,Kansas City,CB,Offensive Offside,0
B.Flowers,Kansas City,CB,Taunting,0
B.Flowers,Kansas City,CB,Defensive Delay of Game,0
B.Grimes,Atlanta,CB,Personal Foul,71
B.Grimes,Atlanta,CB,Illegal Formation,10
B.Grimes,Atlanta,CB,Defensive 12 On-field,10
B.Grimes,Atlanta,CB,Illegal Cut,0
B.McFadden,Arizona,CB,Illegal Forward Pass,0
B.Sapp,Miami,CB,Defensive 12 On-field,0
B.Sapp,Minnesota,CB,Ineligible Downfield Kick,0
B.Sapp,Minnesota,CB,Offensive Pass Interference,50
B.Sapp,Minnesota,CB,Offensive Too Many Men on Field,0
C.Bailey,Denver,CB,Kick Catch Interference,0
C.Bailey,Denver,CB,Face Mask (15 Yards),77
C.Finnegan,Tennessee,CB,Offensive Pass Interference,30
C.Finnegan,Tennessee,CB,Illegal Forward Handoff,0
C.Finnegan,Tennessee,CB,Illegal Touch Pass,0
C.Finnegan,Tennessee,CB,Illegal Procedure,0
C.Finnegan,Tennessee,CB,Ineligible Downfield Pass,0
C.Finnegan,Tennessee,CB,Offensive 12 On-field,5
C.Finnegan,Tennessee,CB,Offside on Free Kick,5
C.Finnegan,Tennessee,CB,Lowering the Head to Initiate Contact,0
C.Gamble,Carolina,CB,Illegal Shift,5
C.Gamble,Carolina,CB,Illegal Receiver Pass,0
C.Gamble,Carolina,CB,Illegal Kick/Kicking Loose Ball,0
C.Gamble,Carolina,CB,Low Block,0
C.Graham,Chicago,CB,Illegal Shift,0
C.Graham,Chicago,CB,Player Out of Bounds on Punt,0
C.Graham,Chicago,CB,Offensive Offside,5
C.Graham,Chicago,CB,Player Out of Bounds on Kick,0
C.Griffin,Minnesota,CB,Offensive Pass Interference,59
C.Griffin,Minnesota,CB,Illegal Procedure,0
C.Griffin,Minnesota,CB,Illegal Forward Handoff,0
C.Griffin,Minnesota,CB,Illegal Block Above the Waist,30
C.Griffin,Minnesota,CB,Illegal Receiver Pass,0
C.Griffin,Minnesota,CB,Chop Block,26
C.Houston,Atlanta,CB,Face Mask (15 Yards),132
C.Houston,Atlanta,CB,Leverage,0
C.Houston,Atlanta,CB,Personal Foul,39
C.Houston,Atlanta,CB,Illegal Receiver Pass,0
C.Houston,Atlanta,CB,Roughing the Passer,45
C.Houston,Atlanta,CB,Disqualification,15
C.Houston,Detroit,CB,Tripping,0
C.Houston,Detroit,CB,Intentional Grounding,19
C.Johnson,Oakland,CB,Ineligible Downfield Kick,0
C.Johnson,Oakland,CB,Illegal Formation,25
C.Johnson,Oakland,CB,Illegal Shift,10
C.Johnson,Oakland,CB,Disqualification,0
C.Johnson,Oakland,CB,Roughing the Passer,102
C.Johnson,Oakland,CB,Illegally Kicking Ball,0
C.Johnson,Oakland,CB,Delay of Game,30
C.Rogers,Washington,CB,Disqualification,0
C.Rogers,Washington,CB,Face Mask (15 Yards),37
C.Rogers,Washington,CB,Ineligible Downfield Kick,15
C.Webster,N.Y. Giants,CB,Chop Block,0
C.Webster,N.Y. Giants,CB,Illegal Shift,10
C.Webster,N.Y. Giants,CB,Illegal Block Above the Waist,60
C.Webster,N.Y. Giants,CB,Face Mask (15 Yards),30
C.Webster,N.Y. Giants,CB,Unsportsmanlike Conduct,30
D.Butler,New England,CB,Defensive 12 On-field,10
D.Butler,New England,CB,Ineligible Downfield Pass,0
D.Butler,New England,CB,Illegal Procedure,0
D.Butler,New England,CB,Chop Block,0
D.Butler,New England,CB,Illegal Blindside Block,0
D.Cox,Jacksonville,CB,Face Mask (5 Yards),0
D.Cox,Jacksonville,CB,Offensive Too Many Men on Field,0
D.Cox,Jacksonville,CB,Illegal Use of Hands,10
D.Cox,Jacksonville,CB,Illegal Forward Pass,0
D.Patterson,Philadelphia,CB,Illegal Motion,10
D.Patterson,Philadelphia,CB,Illegal Bat,10
D.Patterson,Philadelphia,CB,Illegal Contact,5
D.Patterson,Philadelphia,CB,Encroachment,10
D.Patterson,Philadelphia,CB,Neutral Zone Infraction,5
D.Rodgers,Arizona,CB,Illegal Bat,0
D.Rodgers,Arizona,CB,Unsportsmanlike Conduct,104
D.Rodgers,Arizona,CB,Illegal Kick/Kicking Loose Ball,0
De.Williams,Carolina,CB,Horse Collar Tackle,30
De.Williams,Carolina,CB,Disqualification,0
Du.Robinson,Houston,CB,Intentional Grounding,0
Du.Robinson,Houston,CB,Illegal Double-Team Block,0
Du.Robinson,Houston,CB,Illegal Bat,0
Du.Robinson,Houston,CB,Leverage,0
Du.Robinson,Houston,CB,Illegal Formation,25
Du.Robinson,Houston,CB,Illegal Bat,0
Du.Robinson,Houston,CB,Illegal Touch Pass,0
Du.Robinson,Houston,CB,Illegal Wedge,0
E.Hobbs,Philadelphia,CB,Defensive Offside,51
F.Smoot,Washington,CB,Illegal Formation,5
F.Smoot,Washington,CB,Player Out of Bounds on Kick,0
G.Toler,Arizona,CB,Illegal Cut,0
G.Toler,Arizona,CB,Player Out of Bounds on Punt,0
